ovelsesgruppe,serier,median_snitt_pct_tiaar,median_median_pct_tiaar,median_andel_negativ,median_sign_neg,median_sign_pos,topp_snitt_pct_tiaar,topp_median_pct_tiaar,topp_andel_negativ,topp_sign_neg,topp_sign_pos
Hekk,8,-0.697,-0.588,0.875,0,0,-0.397,-0.663,0.625,0,0
Horisontale hopp,8,-2.583,-2.163,1.0,3,0,-1.128,-1.118,0.625,2,0
Kast,16,-9.253,-7.884,1.0,8,0,-9.166,-10.046,0.938,9,0
Mellomdistanse,8,-0.319,-0.4,0.625,1,0,1.242,1.431,0.125,0,2
Sprint,8,-0.555,0.041,0.5,3,0,0.841,1.125,0.125,0,3
Vertikale hopp,8,0.042,-0.0,0.75,1,0,-1.564,-3.267,0.625,2,0
