gruppe,serier,median_snitt_pct_tiaar,median_median_pct_tiaar,median_andel_negativ,median_sign_neg,median_sign_pos,topp_snitt_pct_tiaar,topp_median_pct_tiaar,topp_andel_negativ,topp_sign_neg,topp_sign_pos,kjonn,klasse
G13,14,-3.92,-0.859,0.857,5,0,-3.829,-2.555,0.571,5,2,,
G14,14,-2.638,-0.193,0.571,2,0,-3.538,-1.597,0.571,4,3,,
J13,14,-3.137,-1.909,0.857,5,0,-1.606,0.099,0.357,2,0,,
J14,14,-3.229,-1.972,1.0,4,0,-2.077,-0.911,0.786,2,0,,
,28,-3.279,-0.58,0.714,7,0,-3.684,-1.925,0.571,9,5,G,
,28,-3.183,-1.947,0.929,9,0,-1.841,-0.528,0.571,4,0,J,
,28,-3.529,-1.299,0.857,10,0,-2.718,0.023,0.464,7,2,,13.0
,28,-2.933,-1.598,0.786,6,0,-2.807,-0.911,0.679,6,3,,14.0
