athlete_id,event,is_outdoor,year,age,result,wind,placement,club,date,venue,competition,competition_key,is_approved,rejection_reason
739586,Spyd 400gram,True,2022,13,"27,59",,1,Lambertseter IF,2022-09-25,Lambertseter Stadion,"Lambertseter, Åpent klubbmesterskap","2022-09-25|Lambertseter Stadion|Lambertseter, Åpent klubbmesterskap",True,
739586,Spyd 400gram,True,2022,13,"27,06",,2,Lambertseter IF,2022-05-21,Romerike Friidrettstadion,"Lillestrøm, Romerikslekene","2022-05-21|Romerike Friidrettstadion|Lillestrøm, Romerikslekene",True,
739586,Spyd 400gram,True,2022,13,"25,82",,2,Lambertseter IF,2022-09-11,Stovnerbanen,"Oslo/St, Kretsmesterskap Oslo og Akershus 2022","2022-09-11|Stovnerbanen|Oslo/St, Kretsmesterskap Oslo og Akershus 2022",True,
739586,Spyd 400gram,True,2022,13,"25,41",,10,Lambertseter IF,2022-06-17,Nya Ullevi Stadion,"Gøteborg/SWE, Världsungdomsspelen 2022","2022-06-17|Nya Ullevi Stadion|Gøteborg/SWE, Världsungdomsspelen 2022",True,
739586,Spyd 400gram,True,2022,13,"24,81",,2,Lambertseter IF,2022-06-11,Nadderud Stadion,"Nadderud, Oslo Sportslager Tyrvinglekene 2022","2022-06-11|Nadderud Stadion|Nadderud, Oslo Sportslager Tyrvinglekene 2022",True,
739586,Spyd 400gram,True,2022,13,"24,51",,2,Lambertseter IF,2022-05-29,Bislett Stadion,"Oslo/Bi, Tjalvelekene","2022-05-29|Bislett Stadion|Oslo/Bi, Tjalvelekene",True,
739586,Spyd 400gram,True,2022,13,"24,42",,5,Lambertseter IF,2022-09-04,Rjukan Stadion,"Rjukan, Lerøylekene (Østlandet) 2022","2022-09-04|Rjukan Stadion|Rjukan, Lerøylekene (Østlandet) 2022",True,
739586,Spyd 500gram,True,2025,16,"27,27",,1,Lambertseter IF,2025-05-11,Stovnerbanen,"Oslo/St, Groruddalslekene 2025","2025-05-11|Stovnerbanen|Oslo/St, Groruddalslekene 2025",True,
739586,Spyd 500gram,True,2024,15,"30,69",,1,Lambertseter IF,2024-05-05,Sportsplassen Bækkelaget,"Bækkelaget, Bækkelagets Maileker 2024","2024-05-05|Sportsplassen Bækkelaget|Bækkelaget, Bækkelagets Maileker 2024",True,
739586,Spyd 500gram,True,2024,15,"28,69",,2,Lambertseter IF,2024-06-02,Bislett Stadion,"Oslo/Bi, Tjalvelekene","2024-06-02|Bislett Stadion|Oslo/Bi, Tjalvelekene",True,
739586,Spyd 500gram,True,2024,15,"28,09",,1,Lambertseter IF,2024-05-25,Romerike Friidrettstadion,"Lillestrøm, Romerikslekene","2024-05-25|Romerike Friidrettstadion|Lillestrøm, Romerikslekene",True,
739586,Spyd 500gram,True,2024,15,"27,81",,1,Lambertseter IF,2024-05-12,Stovnerbanen,"Oslo/St, Groruddalslekene 2024","2024-05-12|Stovnerbanen|Oslo/St, Groruddalslekene 2024",True,
739586,Spyd 500gram,True,2024,15,"27,30",,2,Lambertseter IF,2024-06-16,Bærum Idrettspark,"Bærum, Tyrvinglekene","2024-06-16|Bærum Idrettspark|Bærum, Tyrvinglekene",True,
739586,Spyd 500gram,True,2024,15,"27,19",,5,Lambertseter IF,2024-08-31,Bislett Stadion,"Oslo/Bi, Gjensidige UM","2024-08-31|Bislett Stadion|Oslo/Bi, Gjensidige UM",True,
739586,Spyd 500gram,True,2024,15,"23,69",,1,Lambertseter IF,2024-09-03,Lambertseter Stadion,"Lambertseter, KM stafetter Oslo og Akershus m/tilleggsøvelser","2024-09-03|Lambertseter Stadion|Lambertseter, KM stafetter Oslo og Akershus m/tilleggsøvelser",True,
739586,Liten Ball 150gram,True,2021,12,"33,26",,7,Lambertseter IF,2021-09-19,Nadderud Stadion,"Nadderud, Tyrvinglekene 2021","2021-09-19|Nadderud Stadion|Nadderud, Tyrvinglekene 2021",True,
739586,4 Kamp (60m-Lengde-Kule-600m),True,2021,12,1918,,6,Lambertseter IF,2021-09-04,Sportsplassen Bækkelaget,"Bækkelaget, Mangekamp 2021","2021-09-04|Sportsplassen Bækkelaget|Bækkelaget, Mangekamp 2021",True,
739586,3 Kamp (60m-Lengde-Kule),True,2021,12,2159,,5,Lambertseter IF,2021-10-17,Lambertseter Stadion,"Lambertseter, Åpent klubbmesterskap i trekamp","2021-10-17|Lambertseter Stadion|Lambertseter, Åpent klubbmesterskap i trekamp",False,Manglende informasjon om vind
739586,60 meter,False,2023,14,"9,85",,6-h6,Lambertseter IF,2023-03-11,Stangehallen,"Stange, Bamselekene","2023-03-11|Stangehallen|Stange, Bamselekene",True,
739586,60 meter,False,2023,14,"9,96",,7-h2,Lambertseter IF,2023-02-11,Bærum Idrettspark,"Bærum, Tyrvinglekene Inne 2023","2023-02-11|Bærum Idrettspark|Bærum, Tyrvinglekene Inne 2023",True,
739586,60 meter,False,2022,13,"9,67",,5-h5,Lambertseter IF,2022-03-12,Stangehallen,"Stange, Gjensidige Bamselekene","2022-03-12|Stangehallen|Stange, Gjensidige Bamselekene",True,
739586,60 meter,False,2022,13,"9,85",,5-h3,Lambertseter IF,2022-11-26,Bærum Idrettspark,"Bærum, Julestemne","2022-11-26|Bærum Idrettspark|Bærum, Julestemne",True,
739586,60 meter,False,2022,13,"9,99",,5-h1,Lambertseter IF,2022-01-22,Nes Arena,"Hvam, Norgeslekene","2022-01-22|Nes Arena|Hvam, Norgeslekene",True,
739586,200 meter,False,2022,13,"33,68",,4-h1,Lambertseter IF,2022-02-13,Bærum Idrettspark,"Bærum, Tyrvinglekene Inne 2022","2022-02-13|Bærum Idrettspark|Bærum, Tyrvinglekene Inne 2022",True,
739586,200 meter,False,2022,13,"34,12",,4-h4,Lambertseter IF,2022-03-13,Stangehallen,"Stange, Gjensidige Bamselekene","2022-03-13|Stangehallen|Stange, Gjensidige Bamselekene",True,
739586,200 meter,False,2022,13,"34,90",,4-h2,Lambertseter IF,2022-01-23,Nes Arena,"Hvam, Norgeslekene","2022-01-23|Nes Arena|Hvam, Norgeslekene",True,
739586,600 meter,False,2022,13,"2,24,93",,9-h1,Lambertseter IF,2022-02-12,Bærum Idrettspark,"Bærum, Tyrvinglekene Inne 2022","2022-02-12|Bærum Idrettspark|Bærum, Tyrvinglekene Inne 2022",True,
739586,600 meter,False,2022,13,"2,25,37",,5-h1,Lambertseter IF,2022-03-12,Stangehallen,"Stange, Gjensidige Bamselekene","2022-03-12|Stangehallen|Stange, Gjensidige Bamselekene",True,
739586,600 meter,False,2022,13,"2,25,76",,4,Lambertseter IF,2022-01-22,Nes Arena,"Hvam, Norgeslekene","2022-01-22|Nes Arena|Hvam, Norgeslekene",True,
739586,"60 meter hekk (76,2cm)",False,2022,13,"13,40",,5-h1,Lambertseter IF,2022-02-13,Bærum Idrettspark,"Bærum, Tyrvinglekene Inne 2022","2022-02-13|Bærum Idrettspark|Bærum, Tyrvinglekene Inne 2022",True,
739586,"60 meter hekk (76,2cm)",False,2022,13,"14,69",,7,Lambertseter IF,2022-01-23,Nes Arena,"Hvam, Norgeslekene","2022-01-23|Nes Arena|Hvam, Norgeslekene",True,
739586,Høyde,False,2023,14,"1,15",,18,Lambertseter IF,2023-03-11,Stangehallen,"Stange, Bamselekene","2023-03-11|Stangehallen|Stange, Bamselekene",True,
739586,Høyde,False,2022,13,"1,15",,17,Lambertseter IF,2022-03-12,Stangehallen,"Stange, Gjensidige Bamselekene","2022-03-12|Stangehallen|Stange, Gjensidige Bamselekene",True,
