athlete_id,event,is_outdoor,year,age,result,wind,placement,club,date,venue,competition,competition_key,is_approved,rejection_reason
34746,"200 meter hekk (68,0cm)",True,2016,13,"39,93","-1,1",2,Tvedestrand Turn & IF,2016-06-14,Søgne Stadion,"Søgne, Kretskarusell og KM Sen 2016","2016-06-14|Søgne Stadion|Søgne, Kretskarusell og KM Sen 2016",True,
34746,"200 meter hekk (68,0cm)",True,2016,13,"37,32-h1Tvedestrand Turn & IF28.08.16Osterøy, Ungdomslekene OsterøyManglende informasjon om vind",,2-h1,Tvedestrand Turn & IF,2016-08-28,Osterøy Stadion,"Osterøy, Ungdomslekene Osterøy","2016-08-28|Osterøy Stadion|Osterøy, Ungdomslekene Osterøy",False,Manglende informasjon om vind
34746,"Lengde (Sone 0,5m)",True,2016,13,"4,42","+0,0",7,Tvedestrand Turn & IF,2016-08-27,Osterøy Stadion,"Osterøy, Ungdomslekene Osterøy","2016-08-27|Osterøy Stadion|Osterøy, Ungdomslekene Osterøy",True,
34746,"Lengde (Sone 0,5m)",True,2016,13,"3,90","+1,5",4,Tvedestrand Turn & IF,2016-06-14,Søgne Stadion,"Søgne, Kretskarusell og KM Sen 2016","2016-06-14|Søgne Stadion|Søgne, Kretskarusell og KM Sen 2016",True,
34746,"Kule 2,0kg",True,2016,13,"9,77",,2,Tvedestrand Turn & IF,2016-05-26,Levermyr Stadion,"Grimstad, KM","2016-05-26|Levermyr Stadion|Grimstad, KM",True,
34746,"Kule 2,0kg",True,2016,13,"8,76",,10,Tvedestrand Turn & IF,2016-08-27,Osterøy Stadion,"Osterøy, Ungdomslekene Osterøy","2016-08-27|Osterøy Stadion|Osterøy, Ungdomslekene Osterøy",True,
34746,Høyde uten tilløp,False,2016,13,"0,90",,3,Tvedestrand Turn & IF,2016-02-03,Lyngmyrhallen,"Tvedestrand, Treningsstevne","2016-02-03|Lyngmyrhallen|Tvedestrand, Treningsstevne",True,
34746,Lengde uten tilløp,False,2016,13,"2,14",,1,Tvedestrand Turn & IF,2016-02-03,Lyngmyrhallen,"Tvedestrand, Treningsstevne","2016-02-03|Lyngmyrhallen|Tvedestrand, Treningsstevne",True,
69885,60 meter,True,2022,12,"9,5","+1,3",2-h2,IL Koll,2022-09-17,Norges Idrettshøyskole,"Oslo/NIH, Klubbmesterskap","2022-09-17|Norges Idrettshøyskole|Oslo/NIH, Klubbmesterskap",True,
69885,200 meter,True,2021,11,"32,9","-0,8",1-h1,IL Koll,2021-09-22,Norges Idrettshøyskole,"Oslo/NIH, Koll klubbmesterskap","2021-09-22|Norges Idrettshøyskole|Oslo/NIH, Koll klubbmesterskap",True,
69885,600 meter,True,2022,12,"2,06,5",,4,IL Koll,2022-09-17,Norges Idrettshøyskole,"Oslo/NIH, Klubbmesterskap","2022-09-17|Norges Idrettshøyskole|Oslo/NIH, Klubbmesterskap",True,
69885,600 meter,True,2021,11,"2,04,4",,4,IL Koll,2021-06-01,Norges Idrettshøyskole,"Oslo/NIH, Koll klubbstevne 3","2021-06-01|Norges Idrettshøyskole|Oslo/NIH, Koll klubbstevne 3",True,
69885,600 meter,True,2021,11,"2,08,1",,1,IL Koll,2021-09-22,Norges Idrettshøyskole,"Oslo/NIH, Koll klubbmesterskap","2021-09-22|Norges Idrettshøyskole|Oslo/NIH, Koll klubbmesterskap",True,
69885,"Lengde (Sone 0,5m)",True,2022,12,"3,61","-0,6",5,IL Koll,2022-09-17,Norges Idrettshøyskole,"Oslo/NIH, Klubbmesterskap","2022-09-17|Norges Idrettshøyskole|Oslo/NIH, Klubbmesterskap",True,
69885,Liten Ball 150gram,True,2022,12,"37,94",,3,IL Koll,2022-09-17,Norges Idrettshøyskole,"Oslo/NIH, Klubbmesterskap","2022-09-17|Norges Idrettshøyskole|Oslo/NIH, Klubbmesterskap",True,
36424,60 meter,True,2016,13,"9,98","+1,2",8-h5,Vollan Idrettsklubb,2016-06-18,Stampesletta,"Lillehammer, Veidekkelekene","2016-06-18|Stampesletta|Lillehammer, Veidekkelekene",True,
36424,100 meter,True,2016,13,"16,13","+1,7",6-h1,Vollan Idrettsklubb,2016-06-05,Trondheim Stadion,"Trondheim, Trondheimslekene 2016","2016-06-05|Trondheim Stadion|Trondheim, Trondheimslekene 2016",True,
36424,100 meter,True,2016,13,"16,53","-3,0",7-h3,Vollan Idrettsklubb,2016-06-19,Stampesletta,"Lillehammer, Veidekkelekene","2016-06-19|Stampesletta|Lillehammer, Veidekkelekene",True,
36424,"Lengde (Sone 0,5m)",True,2016,13,"3,21","-0,9",34,Vollan Idrettsklubb,2016-06-18,Stampesletta,"Lillehammer, Veidekkelekene","2016-06-18|Stampesletta|Lillehammer, Veidekkelekene",True,
10656,60 meter,True,2012,13,"10,46","+1,3",5,Samnanger,2012-05-05,Leikvang Stadion,"Leikvang, Hovdingleikane","2012-05-05|Leikvang Stadion|Leikvang, Hovdingleikane",True,
